Region,Y2016,Y2017,Y2018,Y2019,Y2020
Alabama,8.3,7.4,6.6,5.9,5.6
Alaska,7.8,7.7,7.4,7.2,7.2
Arizona,8,7.1,6.5,5.9,5.8
Arkansas,6.9,6.3,5.5,5.1,5.2
California,8.7,7.7,6.7,6.1,6.2
Colorado,6,5.2,4.7,4.3,4.6
Connecticut,8,7.2,6.5,6,6
Delaware,7.1,6.4,5.9,5.5,5.8
District of Columbia,8.7,8,7.4,6.9,7.1
Florida,8.4,7.2,6.3,5.6,5.4
Georgia,8.5,7.5,6.4,5.7,5.6
Hawaii,5.5,4.9,4.5,4.3,4.6
Idaho,6.2,5.4,4.7,4.3,4.2
Illinois,8.2,7.4,6.6,5.9,6
Indiana,6.9,6.1,5.4,4.8,4.7
Iowa,4.5,4.1,3.9,3.7,3.9
Kansas,5.3,4.8,4.4,4.1,4.1
Kentucky,7.6,6.8,6.1,5.6,5.4
Louisiana,7.7,7.2,6.9,6.5,6.6
Maine,6,5.3,4.6,4.1,4
Maryland,6.7,6.1,5.6,5.1,5.2
Massachusetts,6.8,6,5.4,4.8,5.1
Michigan,8.5,7.4,6.5,5.9,6
Minnesota,4.8,4.3,3.9,3.6,3.8
Mississippi,9.6,8.8,8.2,7.5,7.1
Missouri,6.6,5.8,5.1,4.6,4.5
Montana,5.6,4.8,4.2,4,4.2
Nebraska,4.2,3.8,3.5,3.3,3.4
Nevada,9.3,8,6.9,6.2,6.6
New Hampshire,5.1,4.5,4,3.6,3.8
New Jersey,7.9,7,6.1,5.5,5.8
New Mexico,8.5,7.7,7.2,6.7,6.6
New York,7.5,6.8,6,5.5,5.7
North Carolina,8.3,7.2,6.3,5.6,5.4
North Dakota,2.8,2.7,2.8,2.8,3.1
Ohio,7.2,6.5,5.8,5.3,5.3
Oklahoma,6,5.7,5.3,5.1,5.1
Oregon,8.1,6.8,6,5.5,5.5
Pennsylvania,7.2,6.5,5.8,5.3,5.4
Rhode Island,7.7,6.8,6.1,5.4,5.5
South Carolina,8.4,7.2,6.4,5.8,5.5
South Dakota,4.1,3.7,3.5,3.4,3.5
Tennessee,7.5,6.6,5.9,5.3,5.3
Texas,6.4,5.8,5.4,5.1,5.3
Utah,5.1,4.4,3.9,3.6,3.6
Vermont,5,4.4,4.1,3.6,3.8
Virginia,5.9,5.5,5,4.6,4.6
Washington,6.8,6,5.3,5,4.9
West Virginia,7.5,7.2,6.7,6.5,6.5
Wisconsin,5.5,4.7,4,3.6,3.6
Wyoming,4.9,4.7,4.5,4.5,4.4
Puerto Rico,17.7,17.5,17,16.1,15.1
"Aberdeen, SD Micro Area",2.1,1.8,2.2,2.3,2.2
"Aberdeen, WA Micro Area",12.1,10.1,8.4,7.1,6.4
"Abilene, TX Metro Area",5.2,4.4,4.2,3.4,3.3
"Ada, OK Micro Area",6,5.1,5.1,4.4,4.9
"Adrian, MI Micro Area",35.6,40.9,38.4,4.7,4.8
"Aguadilla-Isabela, PR Metro Area",7.4,5.9,5.1,18.4,15.8
"Akron, OH Metro Area",23.8,23.2,21,5.4,5.8
"Alamogordo, NM Micro Area",7.5,6.6,5.8,7.6,9.1
"Albany, GA Metro Area",11,9.3,8,10.6,8.5
"Albany-Lebanon, OR Metro Area",13.3,12.6,11.3,6.6,6.8
"Albany-Schenectady-Troy, NY Metro Area",9.8,8.8,7.9,4.6,4.7
"Albemarle, NC Micro Area",6.3,5.6,5,5.7,4.9
"Albert Lea, MN Micro Area",10.3,8,6.2,3.7,3.9
"Albertville, AL Micro Area",4.6,4.1,4.4,4.3,3.7
"Albuquerque, NM Metro Area",7.2,6.5,5.1,6,5.9
"Alexander City, AL Micro Area",7.8,7,6.6,8.4,9.3
"Alexandria, LA Metro Area",9.8,9.2,10.4,6.2,5.6
"Alexandria, MN Micro Area",8.1,7.8,7,2.5,2.4
"Alice, TX Micro Area",4,3.1,3,6.2,4.8
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",6.3,5.3,5.2,5.5,5.5
"Alma, MI Micro Area",7.4,6.7,6.1,5.7,4.8
"Alpena, MI Micro Area",8,7.4,6.7,6,7.5
"Altoona, PA Metro Area",7.8,6.4,6,4.3,4.7
"Altus, OK Micro Area",5.8,5.2,5,5.1,3.9
"Amarillo, TX Metro Area",5.5,5.2,5.1,3.4,3.4
"Americus, GA Micro Area",3.9,3.9,3.5,8.7,6.7
"Ames, IA Metro Area",12.7,11.2,9.8,4.1,5
"Amsterdam, NY Micro Area",5.2,4.4,4.3,6.6,6
"Anchorage, AK Metro Area",8.4,7.3,7.7,6.5,6.3
"Andrews, TX Micro Area",6.9,6.7,6.5,3.7,3.9
"Angola, IN Micro Area",5.2,4.5,4.7,3.2,5.8
"Ann Arbor, MI Metro Area",5.9,4.9,3.8,4.2,4.5
"Anniston-Oxford, AL Metro Area",6.3,5.4,4.7,8.1,7.3
"Appleton, WI Metro Area",11.7,10.1,8.8,2.6,3
"Arcadia, FL Micro Area",3.5,2.9,2.7,4.8,8.8
"Ardmore, OK Micro Area",8.3,6.1,5,5.3,4.8
"Arecibo, PR Metro Area",6.1,6.4,5.5,13.2,11.7
"Arkadelphia, AR Micro Area",16.5,15.4,14.2,2,3.6
"Asheville, NC Metro Area",7.9,4.5,2.7,3.3,3.2
"Ashland, OH Micro Area",6.2,5.2,4.9,3.5,3.8
"Ashtabula, OH Micro Area",5.8,4.6,3.9,6.9,7.2
"Astoria, OR Micro Area",5.7,4.2,4.1,5.3,4.4
"Atchison, KS Micro Area",8.1,7.4,7.3,2.8,3.8
"Athens, OH Micro Area",6.9,6.5,6,7.2,5.8
"Athens, TN Micro Area",6.7,6.3,4.6,6,6.2
"Athens, TX Micro Area",9.4,8.7,7.7,5,6.3
"Athens-Clarke County, GA Metro Area",8.6,8.3,7,5.1,5.3
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",6.9,6.2,5.1,5.2,5.2
"Atlantic City-Hammonton, NJ Metro Area",7.5,6.9,6,8.4,8.7
"Atmore, AL Micro Area",8.2,7,5.9,11,10.1
"Auburn, IN Micro Area",11.8,10.9,9.6,3.5,3.7
"Auburn, NY Micro Area",15.2,13.7,13.5,4.5,4.8
"Auburn-Opelika, AL Metro Area",6.2,4.6,4.6,5.2,4.7
"Augusta-Richmond County, GA-SC Metro Area",6.9,5.9,5.4,7,7.1
"Augusta-Waterville, ME Micro Area",6.1,5.7,5.7,4,3.7
"Austin, MN Micro Area",9.5,8.8,7.8,3.7,3.1
"Austin-Round Rock-Georgetown, TX Metro Area",7,5.7,4.9,4.2,4.6
"Bainbridge, GA Micro Area",5.8,5,4.5,5.2,6.5
"Bakersfield, CA Metro Area",5.4,4.7,4.3,9.8,9.1
"Baltimore-Columbia-Towson, MD Metro Area",6.7,6.5,5.4,5.1,5
"Bangor, ME Metro Area",11.9,10.9,10.3,5,4.6
"Baraboo, WI Micro Area",6.7,6,5.6,2.9,2.3
"Bardstown, KY Micro Area",7.3,6.5,5.5,4.5,3.3
"Barnstable Town, MA Metro Area",4.8,3.6,3.2,4.1,4.1
"Barre, VT Micro Area",7.1,5.9,5.7,3.2,3.2
"Bartlesville, OK Micro Area",6.3,5.5,4.7,5.2,4.9
"Batavia, NY Micro Area",4.6,3.9,3.5,4.1,4
"Batesville, AR Micro Area",4.8,4.7,4.9,4.6,4.5
"Baton Rouge, LA Metro Area",8.1,6.1,5.4,6.1,6.5
"Battle Creek, MI Metro Area",5.4,5.1,4.7,6.3,6.4
"Bay City, MI Metro Area",6.7,6,4.9,6.4,5.9
"Bay City, TX Micro Area",6.9,6.7,6.2,5.8,6.4
"Beatrice, NE Micro Area",8.5,7.4,7,3.4,2.1
"Beaumont-Port Arthur, TX Metro Area",8.2,7.4,6.9,4.7,5.2
"Beaver Dam, WI Micro Area",6,6.4,7,4,4.1
"Beckley, WV Metro Area",3.6,3.2,3.4,7.9,7
"Bedford, IN Micro Area",7.2,6.2,5.5,4.4,4.2
"Beeville, TX Micro Area",4.8,4.8,4.3,8,8.3
"Bellefontaine, OH Micro Area",8,7.9,7.6,4.5,4.5
"Bellingham, WA Metro Area",5.6,5.2,4.9,5.7,5.2
"Bemidji, MN Micro Area",6.1,6.3,8.9,7.2,6.1
"Bend, OR Metro Area",5.9,5.8,4.9,5.4,5.6
"Bennettsville, SC Micro Area",7.7,6.8,6.3,12,10
"Bennington, VT Micro Area",10.3,8.7,7.7,3.6,4.1
"Berlin, NH Micro Area",7.1,5.5,5.2,5.5,5
"Big Rapids, MI Micro Area",15.5,14.6,13,6.8,6.2
"Big Spring, TX Micro Area",5.4,4.4,4.3,7,6.8
"Big Stone Gap, VA Micro Area",6.7,5.9,5.5,9.5,9.2
"Billings, MT Metro Area",10.7,8.7,7,3.3,3.5
"Binghamton, NY Metro Area",6.5,6.4,6.5,6.2,7.2
"Birmingham-Hoover, AL Metro Area",9.9,9,8.8,5.7,5.6
"Bismarck, ND Metro Area",3.7,3.6,3.4,2.1,2.4
"Blackfoot, ID Micro Area",7.3,7,6.5,4.8,5.5
"Blacksburg-Christiansburg, VA Metro Area",7.4,6.8,6.4,4.6,4.2
"Bloomington, IL Metro Area",2.6,2.3,2.5,3.2,3.3
"Bloomington, IN Metro Area",6.6,5.2,4.3,5.4,6.3
"Bloomsburg-Berwick, PA Metro Area",5.6,5.2,4.9,4,3.9
"Bluefield, WV-VA Micro Area",4.9,4.1,3.7,6.9,6.5
"Bluffton, IN Micro Area",6.6,6.3,6.3,9.2,2.6
"Blytheville, AR Micro Area",5.3,4.9,4.3,9.8,8.9
"Bogalusa, LA Micro Area",7.1,6.9,6.7,4.4,9.5
"Boise City, ID Metro Area",10.9,11.6,9.3,3.8,4
"Bonham, TX Micro Area",13.1,12.3,11,7.4,4.7
"Boone, NC Micro Area",6.3,5.2,4.6,6.7,8.7
"Borger, TX Micro Area",6.4,5.2,4.7,4.5,7
"Boston-Cambridge-Newton, MA-NH Metro Area",4.3,4.4,3.8,4.2,4.9
"Boulder, CO Metro Area",8.8,8.1,7.4,4.9,4.5
"Bowling Green, KY Metro Area",4.9,5.2,6,2.8,5.3
"Bozeman, MT Micro Area",6.3,5.6,5.1,6,2.4
"Bradford, PA Micro Area",5.6,5.2,4.8,3.5,6.5
"Brainerd, MN Micro Area",6.9,6,5.4,4.8,4.6
"Branson, MO Micro Area",5.3,4.3,3.3,3.2,4.5
"Breckenridge, CO Micro Area",7.9,7.5,6.8,4.6,3.1
"Bremerton-Silverdale-Port Orchard, WA Metro Area",4.9,4.1,3.6,5.6,4.4
"Brenham, TX Micro Area",7.7,6.8,6.1,5.9,4.6
"Brevard, NC Micro Area",4.3,3.3,3.5,6.6,5.4
"Bridgeport-Stamford-Norwalk, CT Metro Area",7,5.7,5.2,7.3,6.6
"Brookhaven, MS Micro Area",4.9,6.2,6,8.3,5.3
"Brookings, OR Micro Area",6.7,6.8,5.8,3.7,8.7
"Brookings, SD Micro Area",8.2,7.6,7,6.8,3.9
"Brownsville, TN Micro Area",8,7.5,7.4,5.8,5.8
"Brownsville-Harlingen, TX Metro Area",11,9.9,8,4.2,5.6
"Brownwood, TX Micro Area",3.5,3.3,3.5,5.1,4.3
"Brunswick, GA Metro Area",7.2,6.8,7.2,5.3,4.7
"Bucyrus-Galion, OH Micro Area",9.4,8,6.6,4.4,5.5
"Buffalo-Cheektowaga, NY Metro Area",4.1,4.3,4,3.2,4.9
"Burley, ID Micro Area",8.2,7.2,5.8,5.2,3.9
"Burlington, IA-IL Micro Area",7.7,6.4,5.3,5.3,4.5
"Burlington, NC Metro Area",6.3,5.6,4.9,3.5,5.2
"Burlington-South Burlington, VT Metro Area",4.7,4.1,3.3,4.6,3.8
"Butte-Silver Bow, MT Micro Area",6,5.7,5.3,6.3,5.3
"Cadillac, MI Micro Area",6.9,6,5.7,3.3,6.6
"Calhoun, GA Micro Area",4.7,4.2,3.9,3.3,3.5
"California-Lexington Park, MD Metro Area",7,5.9,5,8,3.5
"Cambridge, MD Micro Area",8.4,7.1,6.1,5.9,7.3
"Cambridge, OH Micro Area",7.7,5.7,4.6,7.2,5
"Camden, AR Micro Area",4.4,4.2,3.6,4.8,7.6
"Campbellsville, KY Micro Area",10.1,8.3,7.9,5.5,5
"Cañon City, CO Micro Area",9.3,8.5,7,5.4,5.5
"Canton-Massillon, OH Metro Area",7.7,7.8,7.1,5.3,5.1
"Cape Coral-Fort Myers, FL Metro Area",8.8,7.6,5.7,4.6,5
"Cape Girardeau, MO-IL Metro Area",8,6.2,6,6.9,4.7
"Carbondale-Marion, IL Metro Area",7.8,7.7,6.7,4.5,6.7
"Carlsbad-Artesia, NM Micro Area",7.5,6.6,5.9,2,4.3
"Carroll, IA Micro Area",8.5,7.1,5.9,5.1,1.9
"Carson City, NV Metro Area",6,5.4,5.2,4.3,4.6
"Casper, WY Metro Area",8.3,7.6,7.6,4.4,4.3
"Cedar City, UT Micro Area",5.5,5.1,4.5,3.6,4.9
"Cedar Rapids, IA Metro Area",2.6,2.5,2.1,4.9,3.8
"Cedartown, GA Micro Area",9.5,7.7,6.2,2.5,5.4
"Celina, OH Micro Area",4.9,5.1,4.6,6.5,2.5
"Central City, KY Micro Area",8.1,6.2,5.1,9.5,5
"Centralia, IL Micro Area",4.2,3.8,3.5,7.1,8.8
"Centralia, WA Micro Area",8.7,7.2,5.9,4.8,6.6
"Chambersburg-Waynesboro, PA Metro Area",4.7,3.9,2.6,4.8,3.9
"Champaign-Urbana, IL Metro Area",8.4,9.6,8.9,6,4.7
"Charleston, WV Metro Area",9.1,8.7,9.5,5.2,6.1
"Charleston-Mattoon, IL Micro Area",9.7,8.8,8.2,4.2,6
"Charleston-North Charleston, SC Metro Area",6.4,5.7,5.3,5.2,4.2
"Charlotte-Concord-Gastonia, NC-SC Metro Area",5.6,5.2,4.8,3.2,5.1
"Charlottesville, VA Metro Area",6.8,7,6.5,4.9,3.5
"Chattanooga, TN-GA Metro Area",7.2,6.9,5.3,5.1,4.7
"Cheyenne, WY Metro Area",7,5.8,4.9,6.1,4.9
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",8.3,7.1,6,8.1,6.2
"Chico, CA Metro Area",4.4,4.1,3.9,6.1,7.4
"Chillicothe, OH Micro Area",7,6,5.4,4.5,6
"Cincinnati, OH-KY-IN Metro Area",5.6,5.3,5.3,6.3,4.6
"Clarksburg, WV Micro Area",8.5,7.6,6.7,14.8,6.4
"Clarksdale, MS Micro Area",10.7,9.1,8.7,6.8,12
"Clarksville, TN-KY Metro Area",9.9,7.6,7.6,8.7,6.4
"Clearlake, CA Micro Area",6.6,5.8,5.1,8.2,10.5
"Cleveland, MS Micro Area",4.5,4.1,3.8,5.4,7.4
"Cleveland, TN Metro Area",7.6,6.9,6.8,6.2,5.5
"Cleveland-Elyria, OH Metro Area",21.1,19,17.9,7.4,6.1
"Clewiston, FL Micro Area",8.8,7.7,7.5,4.5,6.9
"Clinton, IA Micro Area",13.7,11.2,9.8,6.4,4.4
"Clovis, NM Micro Area",14.4,12.6,10.5,6.1,7.9
"Coamo, PR Micro Area",9.3,7.1,6.2,5.3,6.9
"Coco, PR Micro Area",8.2,7.5,6.8,4.1,5.8
"Coeur d'Alene, ID Metro Area",10.1,8.2,8.3,5,4
"Coffeyville, KS Micro Area",4.6,4.2,4.4,4.2,5.2
"Coldwater, MI Micro Area",8.9,7.8,6.8,4.2,5.2
"College Station-Bryan, TX Metro Area",10.4,8.2,7.4,5.8,4.6
"Colorado Springs, CO Metro Area",11.4,9.1,8.5,4.2,5.9
"Columbia, MO Metro Area",7.1,6.1,5.2,5.9,3.6
"Columbia, SC Metro Area",7.4,5.8,5.5,8.3,5.6
"Columbus, GA-AL Metro Area",5.5,4.6,4.5,4.2,7.7
"Columbus, IN Metro Area",5.9,5,4.6,8.1,4.4
"Columbus, MS Micro Area",7.4,6.8,6.2,3,7.8
"Columbus, NE Micro Area",4.6,4.4,4.3,4.5,2.3
"Columbus, OH Metro Area",8,7,6.4,3.6,4.4
"Concord, NH Micro Area",9.9,9.8,8.8,5,3.5
"Connersville, IN Micro Area",5.2,5,4.8,5.3,4.4
"Cookeville, TN Micro Area",11.5,11.4,9.2,7.6,5.6
"Coos Bay, OR Micro Area",4.6,3.9,3.8,11.6,7
"Cordele, GA Micro Area",6,5.3,4.8,6.5,12
"Corinth, MS Micro Area",4.8,4,3.9,3.1,6.2
"Cornelia, GA Micro Area",9.2,7.5,5,6.3,2.4
"Corning, NY Micro Area",7.8,6.8,6,5.6,5.7
"Corpus Christi, TX Metro Area",10.7,9.2,7.7,7.3,5.7
"Corsicana, TX Micro Area",13.9,14.8,12.2,5.3,4.9
"Cortland, NY Micro Area",7.7,8.6,8.8,5.4,5.6
"Corvallis, OR Metro Area",7.2,5.5,4,5.5,6.1
"Coshocton, OH Micro Area",7.6,7,6.5,4.4,6.1
"Craig, CO Micro Area",6.1,5.8,5.8,3.8,5
"Crawfordsville, IN Micro Area",10.4,9.4,8,7.7,3.9
"Crescent City, CA Micro Area",5.2,4.9,4.5,5.2,6.4
"Crestview-Fort Walton Beach-Destin, FL Metro Area",7.8,6.7,6.2,5.4,4.4
"Crossville, TN Micro Area",6.4,6.7,6.2,5.1,6.2
"Cullman, AL Micro Area",4.5,3.6,4.1,5.5,5
"Cullowhee, NC Micro Area",5.4,4.4,4.1,6.9,5.9
"Cumberland, MD-WV Metro Area",10.4,9.5,8.3,4.4,7.4
"Dallas-Fort Worth-Arlington, TX Metro Area",6.7,6,5.5,5.6,4.6
"Dalton, GA Metro Area",8.8,7.6,6.8,6.5,6.1
"Danville, IL Metro Area",6.1,5.8,5.5,5.7,5.8
"Danville, KY Micro Area",5.1,4.8,4.7,6.8,6.5
"Danville, VA Micro Area",9,8.4,7.9,4.3,6
"Daphne-Fairhope-Foley, AL Metro Area",6,5.3,4.8,4.7,3.9
"Davenport-Moline-Rock Island, IA-IL Metro Area",9.4,7.9,6.7,8.5,4.7
"Dayton, TN Micro Area",9.7,8.3,7.5,6,8.8
"Dayton-Kettering, OH Metro Area",7.8,6.6,5.6,5.1,5.7
"Decatur, AL Metro Area",8.7,8,7.4,7.6,4.6
"Decatur, IL Metro Area",6.3,5.5,4.4,3.6,7.7
"Decatur, IN Micro Area",6.1,5.5,5.2,4.3,3
"Defiance, OH Micro Area",8,7.2,6.5,4.9,4.4
"Del Rio, TX Micro Area",8,7.9,7.7,4.9,4
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",8.8,6.6,5.3,11.8,4.6
"Deming, NM Micro Area",10.1,9.2,8.2,3.7,9.5
"Denver-Aurora-Lakewood, CO Metro Area",5.5,5.2,3.6,8.5,4.1
"DeRidder, LA Micro Area",6.8,5,4.6,3.9,7.9
"Des Moines-West Des Moines, IA Metro Area",8.4,6.6,5.7,6.5,4.2
"Detroit-Warren-Dearborn, MI Metro Area",7.8,6.7,5.6,2.6,6.5
"Dickinson, ND Micro Area",14.1,11.4,12,3.5,2.7
"Dixon, IL Micro Area",5.4,4.6,4,5.8,3.3
"Dodge City, KS Micro Area",7,7.4,7.9,6.2,4.7
"Dothan, AL Metro Area",4.8,4.3,3.9,4.6,5.3
"Douglas, GA Micro Area",9.2,8.1,7.1,5.4,4.5
"Dover, DE Metro Area",3.2,3.2,3.3,6.4,6.2
"Dublin, GA Micro Area",6.4,5.9,4.4,6.4,6.5
"DuBois, PA Micro Area",7.2,6.3,5.9,3.9,7.4
"Dubuque, IA Metro Area",8.4,7.7,7.3,4.2,4.1
"Duluth, MN-WI Metro Area",7.3,5.7,4.6,5,4.7
"Dumas, TX Micro Area",8,6.7,5.9,6.6,3.7
"Duncan, OK Micro Area",6.6,6.4,5.7,4.1,6.5
"Durango, CO Micro Area",8.1,8.2,7.1,5.5,3.9
"Durant, OK Micro Area",4,3.9,4.1,4.5,5.7
"Durham-Chapel Hill, NC Metro Area",5.7,5,4.7,6.4,4.6
"Dyersburg, TN Micro Area",3.9,4.1,4.9,9.2,6.2
"Eagle Pass, TX Micro Area",6.8,6.8,6.6,3.4,7.7
"Easton, MD Micro Area",10,9.3,7.9,6.5,2.9
"East Stroudsburg, PA Metro Area",5.1,4.4,4.1,3.4,6.2
"Eau Claire, WI Metro Area",7.2,6.4,5.6,1.9,3.4
"Edwards, CO Micro Area",6.8,6,5.2,2.8,3.9
"Effingham, IL Micro Area",8.1,7.3,7.7,5.2,2.6
"El Campo, TX Micro Area",12.4,12.9,11.6,14.2,5.3
"El Centro, CA Metro Area",6,4.4,3.3,5,13.7
"El Dorado, AR Micro Area",10.3,9.2,7.9,6.6,3.9
"Elizabeth City, NC Micro Area",4.6,3.9,3.5,5.7,6.4
"Elizabethtown-Fort Knox, KY Metro Area",3,2.7,2.2,3.3,6
"Elk City, OK Micro Area",4.9,4.4,3.9,4.5,4.4
"Elkhart-Goshen, IN Metro Area",5.7,5.3,5.2,6,4.4
"Elkins, WV Micro Area",17.1,16,15.3,4.5,7.1
"Elko, NV Micro Area",9,8.3,7.3,5.6,4.2
"Ellensburg, WA Micro Area",9.4,7.6,7.2,5.6,6.1
"Elmira, NY Metro Area",7.9,6.7,6.1,6.1,5.9
"El Paso, TX Metro Area",3.3,4.6,4.2,5.4,6.2
"Emporia, KS Micro Area",6.5,5.6,4.7,4.9,4
"Enid, OK Metro Area",7.4,7.3,6.6,5.7,5.1
"Enterprise, AL Micro Area",4.9,4.3,4.4,5.4,5.5
"Erie, PA Metro Area",6.7,5.3,6,5.1,5.4
"Escanaba, MI Micro Area",5.6,5.3,5,7.9,5.1
"Española, NM Micro Area",7.9,7,6.6,8.9,7
"Eufaula, AL-GA Micro Area",6.6,5.8,5.7,6.9,8.2
"Eugene-Springfield, OR Metro Area",4.9,5.3,5.1,7.8,7.1
"Eureka-Arcata, CA Micro Area",6.2,6,5.9,6.3,9
"Evanston, WY Micro Area",7.1,6.5,5.9,4.3,4.5
"Evansville, IN-KY Metro Area",7.5,6.5,5.3,6.5,4.4
"Fairbanks, AK Metro Area",9.5,8.9,(X),6.6,7.1
"Fairfield, IA Micro Area",13.2,12.4,9.7,4,7.3
"Fairmont, MN Micro Area",8.7,7.6,7.1,6,4.5
"Fairmont, WV Micro Area",9.5,8.9,8,6,5.7
"Fallon, NV Micro Area",6.4,6.4,6.1,2.7,5.9
"Fargo, ND-MN Metro Area",5.5,4.6,4.5,3.8,3.1
"Faribault-Northfield, MN Micro Area",8.5,8,7,5,5.1
"Farmington, MO Micro Area",6.6,6.7,6.7,8.7,4.3
"Farmington, NM Metro Area",3.2,3.1,3.5,8.2,8.2
"Fayetteville, NC Metro Area",6,5.5,5.9,3.5,7.5
"Fayetteville-Springdale-Rogers, AR Metro Area",11.7,7.8,7.2,3.1,3.5
"Fergus Falls, MN Micro Area",3,2.7,2.8,7.4,3.9
"Fernley, NV Micro Area",4.3,3.6,3.7,3.6,8
"Findlay, OH Micro Area",7.3,6.5,5.7,5.8,3.7
"Fitzgerald, GA Micro Area",9.9,9.6,8.9,7.6,6.1
"Flagstaff, AZ Metro Area",11.4,10.3,9,9.3,8.1
